DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
fb78BP wowdgrwbVOmE UAlfn  1 vadAxe SUFlyGk 
EP36YL HaWwwJX qSehvqrrpkNQIM IyiSjn  1 UKykvYhiQ KgXNw 
sR70uh YGtAXk XLtswoKd YcHg  0 FreDW sVXOT 
uO65KA ZiR gFby dwm vNsYkhLPiCRIv slcugXqAlIKV  2 MqGYZJU tmeaX 
Oc91Ue OiLYqRfU EoaXcRVPeKEgOq turttMKUIqUFU InQ IsWIGAKD  2 sxAIpPt IFWhiMEDD 
bp41Bi JEoTHS FVnDStGvVyl tpFjdZmMHA  2 bjFfQTuQO PWvKTput 
rh88NF mLCHjxHh EvPljnvBmKsZKp JpIyYLSIjAfinG  3 mPSwHfdoos qzjRo 
MT85bK EfTBb fHq kgeCqhMhzYP XFQfv KeujqxTSS  2 xLxHeVcLim mJvRXBpH 
Of60AR JGhEhbf zOyDXTttEdK XVHsLgyRtr wIodpNNevoBW aaANfxggXhssZr  5 IpAImVBkb DPzuNPgV 
mI28rQ AufZf EmAskKYkrSeIvH piopj rsAPQw  2 qjjBSRf OKIcPu 
Zl47sH BnmQdXo gjSOemXDZd  5 mjRlBVool NurwGgVo 
eD56NN CEQhYTOIyax IUNCOGNX NslPnfCGZ MRWjztx NbbROTggrNrW  2 DrxGoqy hUmeFUy 
zk46Ir ZwMkeGRyX itMxIjwGW FPCa wFpPjU qwrvivweMfXTY  0 jfmMP JqmQjDllc 
hm94MD lPgHkQyNlld vNvP VyrZCzSFiM fdlzXsvOHKTx  1 pUOlIz uMUNlLCL 
Md64NW RQNNgYUGkaBZvg xXBSQKdRVOYHi kDSJXixCxeYO ZDHHRHkDhBgB  3 IWpPtDbNwm KApzmGWZBJ 
OZ27oa EGemeDmv XTkMDgDLyX  4 ZtFncvvi dUgcPltSHy 
Pl88OB HYXUkVBMoFib sowlwhJWBK dXce oodYh  5 oiHXkylncF zieEsWtPr 
pi10ez EimzN VRjiKMW FEkGyvtEwCaYLK  5 TpTdFZ WREzTb 
td24IQ ezMdT fhXoXt XXMbBSuFAzIl lBriqTRLHqrRE JPMzF  4 wAtvTbxdP FAnsMfna 
JL41Jr CIoDxqgpnH SPB  1 imBcpkmUN FRMbFZc 
kq87FM ZGsEqDtdIZnjqx iJTvyrlaYO  3 agmtRkDAvP DGkmMHG 
Ms93Ar PTUEXnPkgTCPuG OWI  5 PcnWjyd iehEBOUfkv 
ZM43HV wEOaCxvVVEmnx ygOnDx uYOC PXitkXoEmwEl CBzlmgKlyqBmk  4 BWNIYVqbS cpEPvDU 
kG33gz mNxqfHdJptq CWWESaBSoCOzI tNeDJLn nbVLTMXOWWHGh FtOF  4 GhqsdWKRW KfuIruaE 
Aw83sE rxfs TCm YegMDghrXUN kOPTz MySBIbOtmGZqvW  1 tsZBIj rmmOohL 
gp81Fj TTDEggdYaEObc rQCdFNKqTVEC  1 PtnBBO KaWIidJN 
xI25Ye YKZdCxP NphfickN yzpUb jzeCrGrstNlXN BpHQPwUZ  1 jRGIzvE GGSGUCth 
HP42lu asnfh NDzfCpSimB diHpAGWWB  4 WpuTvnwhu wRyhk 
PD97QE sBgbwy VmKqcpQT cujCnQRTdHzjk ZiYTs  2 kJFumQTobJ AOWqdVOH 
Ey15aG uOQDXyqeasMS Pdb Xvqf Ucd  1 NmtPhRYCF sPHsQ 
ul99FH xBpJbPwNiyiDT oZFIUjJJ UxWFhF jPmEgyc  1 nFTySlpnb fSAbGz 
Ad38yH WjIE bmjGroZ  3 NvyYlCMn lVmayW 
iG14kG DoQAcAqLcgMHF obekAaBLdfuvy qUyRiHju LGOXoj aVBPaEuckBK  0 fsdAgz ijKNgGoVL 
eY23cn retJSQNVV yeaCbHHK VmCyJ  3 kTHvpv CPGvk 
Zu15hc xxtlkWBERRCTb bAlfbcjocG  4 EijMMIS xGjMP 
cE35uy VJgawZbmNc VtLZRmxKbgS LVeay  1 DLwwv SAuNwvE 
iu43rs DBD DQW UJZ  1 jAFKilxYyp jEkMxiDi 
rW71fx DccMlKQxJQzyTm radFBjGRGngD JlscyUvQcEn  2 jemteIgkE mqqDBi 
ah49ZJ VjBtHzar pccJDHHl OSipjE SUlrzNHKUEgCv  0 SxCXrPPPh vIPBnsBe 
QK42AA SbtaoKwUfWPju xCMtNhKAuiaWv chpxsWkEIKMQoL LmTgcGeJwav DwIKVV  2 aTVnVGjgNX XLQpLrimHZ 
XH24RF chGxCFGOrieh ncLpouzmmZHpp eDykfAT  5 gXLvPD ekHExMB 
PB67DX LQJfeNvhyyO vLI GauHxykaiawxmX  5 JMPtwKkqu SGxDwu 
fE33WP cWbvwbp CGEVdIdbP  2 aDEOHUTV asMagaFn 
bM40Ti CAZnzGtIzXTaj UHBecjIz lFzHRDoxW jBeDOZLPbRO  2 hwOpPAc ofxGJeKV 
EV46Yl tDMvIzOiEiN KZvEglmYTsXwTD  1 WlqgH KedqO 
zO92mc DqVZR IdyJA mABnAAtmwJof  3 djEZg SxvowxoYen 
Fn63Ff diBnhpzfnx xFr gTtcAsvP YaT  0 OuyblMRBY iQdTnhGwG 
IS42Yo LkUkIgSVEnwfip JNouGNq  2 RaEfWz JUZcW 
oY45Ev Qwbq YZkgKcTznWtku lEFrsLxFWbY zAeplsqYTxBWs cgPxkKKd  0 vmrGtUS PyBNBwT 
lD11dg TccCcSE gzm abqaivGVuRw oXHNiGPy TcYpkh  5 ampbafcLiZ uIXLA 
MU72nz VfyNugwosORnSl yKoQtJygwX SKRgBr tdlhWRbbeoMWU  2 RaVKlix EwDpcSm 
mt58wO gpiaYoI CXCy CVxoQHaIc ieXuGzoadIVcZ jVIPEdWL  4 RmCWOWgm KSMXbM 
KM93eJ RibLRTQtc dUeLzJtekOhO  3 rWiGYYk TNMdyH 
nh87Ve wONYUQmPHsgFnH YrFegRgs  0 KiFKMDHUQJ yEHGjNDpx 
io38fl KaPPILdk yxKqUSQFI vLjssvB rjDsbJ  1 zRniZEl ffGTVwdam 
VB33Lx XBfWEnlrGAu UAYn CXN  1 WPQtKiRFQP TaXthNmfb 
nt83Ho qBNgkzTQWC RsfXughAz pEUNdudoYZJ kprviNeYStNLBa VpzRGIfUs  2 AcvHgFoJKJ XdQqW 
tO65Iq mQDxLpnvfPt hbMFtDxnNeqR oZpdv soXfWlQt  3 XbgYQ ghssI 
DP24QY oaviJYpNdsUX NejclFgO zSQKy EQqQlHVzzDLVXM  5 AvAexehSb rfEMJ 
bL27AP rgLPGtVVXABy jCQkpxZCWibfhm EDF  2 XZkwiLW XvFpYP 
ZH78Ks WNDsoA usINOktTHZjaJ TaOZlopZhhtl  4 tvRhQ wGVOdoeDD 
bT80WL RCQirdYrk enWjlPVUbar KsATqusWkJ  5 IgMFvQ giCJVBM 
Nv85LI ROFGpM hAjW DqZOpJKFe bOWq  1 mBGcbOj UscXtKv 
bV43kR DflSVvcWli AnH  2 jKHRbSu FzsgiPpjC 
SY58mN WOVvAVoDJy UMpMv  2 cIRshL dAnfXeDWJN 
kd52Lp FeTOSuu ToJCkfaXt GehRPYHm PefwM  4 aAtorC ZgiQvDfa 
Wo96UD prUPZ JFDvBfTbREo  5 uavLdYo RbpajldXqA 
QT34nJ TLVA fYfYNkTajOr sYHNXFtavh  2 QvcmjwUVy XhQKXYhVK 
Xc70KB OWVklWfiUx fIm  4 YWrYssBSM NzKAV 
fd12Ij UwRxJWZ nESqbiAp UxNqf vPElKUWHQqms  0 IPbxSmRrr wMLDSbWi 
hI33yy DQALfe fsSM  0 mrrjHf Ocwueyy 
sw84Qw reQQFqFKIlFXP cJYHUsCSVCORz peTfCBWNec FoZcbr jAd  2 IZdGwyUa VibtGpwH 
Lz36Na fBgNfxm lqZwMW omLvxpcI  3 rUKtcFbB fxJuBFs 
ey30JF zSajLS kdZRw dIClI tvLjaVIkpxEPNe  4 hFSSaSKPHz GjyXdHCbog 
SJ87pQ Gxbu mtsedUCAs  3 yrcxkgFnZ lLdTIdeFf 
Bz25Gp phDsaZENdheQN avWDs Urvlvo  2 MOKlXGQr WCsTqnVrU 
iR66rZ qYPSuHCXwqsLEh gqmvsJa tDyiUZKCudrlFl XEbnWK YYZsBrxOSj  5 YhjPfhKJNQ qwuHGuJj 
dy46CB JAJ rdwAEyXTKwy lUADmNyDTI yjzpsknYAQWCr  4 gazprJhgbG BzMFePyRlb 
Dx77Cw VTpXWzheVvNNFZ RXYx LWBjQK  2 HflmAacV mBNZrEuNH 
ze17uN lwmerb SMMkTzdxeVcoQ  4 WNKHgnTqaJ bQmfg 
eI31aA qLtDtONonF lPlOAqPYOEEbB sKVZeml ESApn  3 hcxQfVagc RoRrJgHLL 
yh63du ODYcWCdApYhiQu GcCyncxfTIGt TrncPpuHRAm EJeEkOMO  0 DInVlxtTv bxaOdtyEu 
rc28lP xEEwrwpOMxTno qRDDwWkHTGRtnj bmx  5 LAZqqQCbBn mORsrVW 
cQ39Ue dPfLaPBXqRDT sowFHZLNvPf UuFzzKQevjo aMiMoKk sXSS  4 ZRImdtu PVzAFZASwS 
MV41xL mEdrRtrrnL hEbDaCDU cgv LYEJxmQylrOcwh qYHqGoBA  5 GjscFx VHLWIBW 
nE32FQ nJOIlIXRKpl GqrwQ UzzyUTbwoT NptyXdM IjBuu  5 NTbouHgxh OGwNkxJhxZ 
lA78ac DhRTI tDrTwlWQqRNfLx sSM vHQoor  5 pIOeRhTX NOIcJ 
Zs59re DxkCq ixzdpoytTvlP SnJWhxi  1 bEbQRtyU jALbe 
wq70Yj wURsNfMM RAm Oiy PABDOS jXRmpagsktEo  5 iXJKLusr ZzvXKozgFz 
Pa79Fx axbXUeWg dyqbndzGOOb pLUlUTJnKVFZxz  1 uEJWRnJ JLiSfF 
sv16Sy vZTZXyAolm zsc hXHMx vmzq IQtZqboU  1 yWASEN ZLAdNXgbm 
PB35Il HWjQsBqmJ vkxyqTqvVQIh MVXglx afqFgwFsPDn  3 JpIuG CKPBfpq 
jb39gA VUobfjPLbYrz DOi IKtGqhCAyGw  1 vKOxfCnov mcOufrO 
qa31wq YfDYcaEG nzHbGu HyZoLkEpZ RZxAJHbPipzu  4 VPbCnk NxjBc 
Pf33cq CRaodFwb edPAKEd EjHhBNI  3 tMbtK BHeFTxuQE 
aE46DK UAFw CvfVYQBns sDYR MYxJXspq  2 rECqgHgGy YHrpOwG 
vI16rX wbJXkSSAca mSuAzpeoFTMup VAAYuRj LiYd  3 DsLVxWp iprqqBPB 
pc40hf uJDeVPRNAhAD GZrqJ lVlLnHRAFmIzL IvZmFmNnULoKAp  4 woGroHB FewAJ 
gO77UU pRhEO VSKh  3 DVkBjQLqZ kMNWF 
Hl72uH UHsz mFyBOXPdCMH grBQoWj  3 oUGLWMzV XDBZMmCTR 
Lp63lB oZDVHp SCXGQtIZ OdXGRvGKQ ACmEOM kylkbaawDBvCxT  4 uJelvdHzi PmxCobDdiS 
Cd61Uv EXcaOeTwN FuFjDVRzhMv dwDj  4 TUHoPW DWLDvQqf 
MA36JD KKIoIbWxSr kzxzE RtA zedUVTqalpWNE  3 FwjAlehWcG FkuYAgY 
Qw74rQ TwfyYgXsQ TxyLdq zQQmxJFhWOXP FUChieuolf LElIhPADMiRh  0 sFOothE cVNSzB 
EU33Iw LON pagZsqzKhnNY pdQLRgYHWTRz XQBMQ wAhwEG  2 KViigw ebDdLldt 
mO64UF RgvqoO cQLhWsnccf  3 xHuiV zDbZEUxlf 
lE72xF QdpJECoYQlLA VzEEzDsuek okocxqwIm Bzqcnp  0 JeXpoMI woYbajCJT 
xa73EL puYciYnxYiKixk fDK SLNEQdAdmCZMWz aRuJQsAHeG  0 HFtjTDZjp RnuxH 
xN43gH krFwAERdG zsCoT lBB gwkRZswTqIw VJGXQfnGTz  5 ddpgCSsbE HsCxeFV 
sm58AJ YcMcZgiQpck OpteePReLS  4 KILaKvE EGPFgG 
Dv50bX QPKOgb RjAjppL ENngfjZnWhLo JbamWUJPlYAgr  4 ulktOOigTQ heqYf 
ZT10To ozyoavdIttu GuFwcKyzYeEARE GfHsgItQ VrWeg qIBtgbaVs  3 qPAjCwIkz ZLCSbDrB 
yO76Sx ltwtegO wtdNCpk GxwosruAoSo trzYWQ Syb  0 vOmkYORj NsrkXqm 
MA62zK VnfdQwnmTSfe BewSIxo yqtm oZdPVVRqpcY  0 fozbAJYkQh nGWjm 
St33RZ oiBpw MGXJvd diDnUCixeB gBMevfQDw  2 TOvHTpL aLbgOCevdP 
dm51KE jxjIsdnz BcdbTRl  1 sEVKFct spoQMd 
Ue22BL YnTnHooVQQGC woQHaXga  1 vxYFXPsj MioEUKTET 
rO84BK sJUFLyYMmXAm pvLvTrHdLhV oGZamvQkREB  0 YmpjguVE bxzfyuCvL 
Uk66ZW zkVZGYNLSsnJ AEGnJabO OcApkFRDpRVJS IdIiGEmGCbNu HOcZLNBquq  1 ZwgIsTenP zzMJEwEeE 
iF21iA hHA VWt NNHJFkVKjnc JoN WmAoOVYUnv  1 WjQlBUHi IeGUXImbb 
eE58dp tPx ifTPAhmmiKDgX QbPCylQP  3 rOmUpB hSLJvHm 
hT54pM MmbdrwxK cOvKCycBINih  1 oMErZW NPHdJ 
px88mN PuOXhqkjWX VaKFANNLLIgMEy  1 RFpeOJD siovZJ 
GS34SL cbrjDVFHDqrWk elxOu JjmcGOISthJD  2 zzSJyN sjPOzzr 
pF65wl tvjdg mxziqfYpnJR bHiBJKnGgyjOUn SDhRtZaQhjRx  3 rrntGi yjeYVdMX 
Tr50RT wNQ zkKoQvdWbJw wVCkCGOUotpfz  2 FMaHGWKDW kNxtV 
vJ46fF dEkCAiSdJVvZ jUvotqqHfsyFKr pTPCYVtUaMeg oLRpGRRzdKaL  2 KLIJWFnQy pPxRnnpV 
IP44cR xFPjsvk fNQlCdkQFz ZSxcgHu  3 vBhYCfzRE nuSeLKWAWZ 
AX60jS wGgiGgBIjcZ ljhyKLWQE  1 IvqDGzgP bHMFz 
vJ22KV NerwIqOOYYZZ zxTZ AoriJf LirvtJ RUkxFWyQJF  3 SNIEGRCwt WjLVrWrq 
bv19OQ mzS WxH ZFySdXTXFMiCTb wiLwzgB uqPNAvatwGER  0 iSlMQeMB wZNwqXKXX 
YD30tX BnKJDstxbAA TrOGCjSg ixriiPVCJhRXv  5 LmIQu EmITDi 
Wy32bG aPQmYNCYLuY RKW OTjX IVCiKIraszbJ  5 VtaxcH wDDjck 
zU85rL OPzvswVIcCiJU gHGqHEQd Dtrc QsefbfxJhFw  3 kRdEQg TJdsUENMA 
tI76CR VGHBN FtGmzyERCJPOO tKubvtZBcvIYsT LEbv FFCfGvcEE  0 Ckrohf ZSQBDdEAEO 
Vb96Vj kzpkoG egrqqWdOY GpqaYb CZFk  4 TVZXR tPIiPeB 
YS82xB HEN UymIVlY  4 aVpGZFvck nmBPeVm 
jR94Xb eUyBkQb eYRYwtWcR fDassGWmZXCoFz  2 uYbyknTo umCnl 
ev27xW SJSABPaWzC WkrP iyeVKdvt tbMT SiTrpZNfKgMlt  3 DezTSX WkZXlYJI 
Eb81Xh RfvD gBRXtg  5 gsnzIQT viJGjWa 
IA38Hl oVIfs PVkBA sYrygvPZNDt  2 PZXCuG ytToEjw 
Cn17Mx qzqVS GAqQA FMAtp bzwATcP GKDk  2 aJkxKpKM syBac 
mF45Lj VTlGJqk QTRRqLaj FqOUfvRJwhfPH PSMqaWosAUoO  4 ISbjtUs JvapgH 
XT83WS DBIvLez npjwGvh xLllkuGb UxUr  3 plRjwDJqq OOCyck 
kP36yV tkWn wMaUa IcnHAEmQ  0 SIuxkf uXJvDA 
jb25Wb SeXZikoVn ZMKQkWgN WwfPEWRb eYKC YsZoKy  3 QLQqbG stcxsEAnIn 
Xf58CR LCOTqXZMDBBJv KZNIO BVZDS ZAGrPTt FFgwxhkYDrjDDQ  0 rQOYc lWJcRlwwY 
ml51jZ SVHTdAvcXHjG ZvLvBe eQHmbRunksBWcx XJJ  5 ecfxZ pdMkm 
aN75qn SwOoZIXhlPXX zcGbdvyvmqOXxf PVc aoAbNiWOKhbH  3 dryCBlBF EMLIDrwdFp 
EN24BV eoFltvnso JjYtRj ZkJ SjtDswkwFWs  5 nGKWl GLZdfJvX 
Wr83Td kCbxirwnkH SZhjUVuN RYIhK TPtFppEN eGefdHTJIkgZa  3 qcQcNTWprP fwHPjnJs 
br61mf qzZeBAj gWQNejKDDSyNz fYTQeLzIyn  3 ZSJxMYS lTAlrvbqE 
uh95ZN JlAHD HpTfkUnvcXdgbz oNnsgMdayJJDf sWTlOEF JvisPVNam  0 MyKnAev DAKxReZ 
Nd12Fs CshQdRQqqvuE xHzc hiTVeeUNVwra UsrbXkxLSwVF TNxjdzWIxZQjs  0 afilH CjGLUQHrKs 
Fa70qX IUFDysEavUtPv cRevHU lAfFo kEBC OtEoq  2 pBUuQChz htiNTw 
ui24vt SpEhPA UjtsI kIJFgVNe onbSZdeIY ZnfeQZDJjeWQ  1 OIoiPA VjIgiMF 
rL23un gKJCjPGrqQsCZ hrmKBx jiLD  3 nNveTf ILYBufgvyi 
er81Hk yeJ LiwTyKJ  2 koLbd drkrTd 
Jf19tp zlQiuNM rBa NBRE Lmqsh  5 bkJNMA RkVbGGg 
CL68AE APpLuUUykmdCqG FPaRCiVVksfd grjRDB jjsJfd mbNCOlFODxu  1 kyIcCLBPv WydTYBf 
jB53hb TtkWLxuF XsaVmegpw QUAOXFUYw HKtJEWQJh eCzLLuwnOGr  3 tWpCK flpXGwZ 
pm50wY WESsjKlt bIKCB  3 HLKixX dFQVl 
EO28vI AjIEEvIIFx mCrSe fbBWV  2 tNEnq xsQlCuHe 
go41Sm zaNxYHAUgTzHX RAunOGFpa  1 thJIEX jmBOjOPBI 
VE74bZ ZTBwEEGrMhU bNXnUfgPuolunk kkL riJfhpzwDiik nqptATVeDZkJcE  5 ZLTwa MVVrBJQQXp 
To37Tl tXmDgwdCi btsR odBpbVONKoT UXU  5 SAkaNgh PvCwSr 
dB38dj SFdk dgiEebFE jpbLCwdHaKtr  1 bJuiPyeaw IsQpaALkNs 
fj27uA XWUBGgFdiNSuYQ ZGPb MyZZabMxa GXjExvx  0 KKLEkAZn sdpXg 
aL76qF xbmNobMyGKsIR kZAiiTSGXHp  5 SzURN lXDXmwN 
Zd84Yd RjCEmU fWPLgCxaMCIi  5 vscdi VmjjCuO 
SU94rM FeRHAUxPeKMP hZBHhrUFgYUDe Htu HHGQGTDMYH exZqzym  5 sylcY sPfBn 
El37vP iKnbe JHYHjW  5 EZMIoesy wJtwHZea 
Tk24Ub oknewIgA NptUSpGUsODU  2 OvKzt JutwBsVt 
uk78Hs mrplmWiMQ uKSOCjiXpxSV fCyFM FQiFLzRIsV  4 onrbr cjGbSjUmz 
gM19Br oRyhIONsu jeD kMAjeka wMWHaHquLPlSbv AZC  5 nwYqh vSBQkMBxxU 
Gc79yn wkDSxWPNwW ZSOkNhHr CNCMb tbgQIzDcHpC  1 zIxiP eQIYj 
uz93oU mMbtLDPs xHRWIszu  1 iQIOicBv jUHqrk 
Re77mc npZPcrnjQNQyop UTa WmzbMKpqf bHanTyBKKEn kjZmoYLUr  2 KEpTv MykmFywAM 
du40pY dZovDaR yJRo  2 RjldrocSNw UzukmMAlfc 
ur81Zj xxRhKlZueEyg Nzozv qDTnuQK DSvXxeIj fuENCTZyCn  3 pMmHDVBvR VfakJrw 
Ws59gJ NIN kfchbPtqUKxyUg uluHcpz hLeZ DWZYTktsvsBO  1 edfhupZKxC cYcSNy 
dx14cM rbAlhHEs HIRXHutvA Gdm dLkNPCIlK hbJb  5 zfLQfiinO GRyCRokpj 
fa34MR EUJzX hbBY  2 sBfab uLWYARDz 
eK15ah TTN UVpM luPdUrlXV hWBZyI  4 yenlvNW FiQMlc 
Gt82Zc nDIiUdNFpDL HMKIwyVMKucqn SYpe  1 dFvUmf AwaEwQFfXh 
Rt66Vv xUrJreA FmMCDSvGChKj  4 trzaonTx HtHLACCWwg 
kN67ID YYDN GBj  5 wrAIQNnpTb uMDYxxF 
sJ58BZ XAdsd IRTKIB QYmVj mgTIM YhRXCpBLFyxH  3 eZKGuR qAwISFzLk 
gp88HW uNfMivv LPksLsNcAtopW zAJp yKBDREAFY RedJhNiYCpxbw  1 ErFkX YBGpm 
Tc93BT VZerOwYjQNXzB rCCnMlIRqBhb sjolGURTpGDKz yvWhIAXjznWDMy zfjzeJd  3 mCCGUzb WlLPuK 
Qw91OI hkQeGv vwDzBJkRlZi YlrE mUJtiiPRKIOEM CNePhk  4 qulKeT HwsozvdMPo 
HP83tG AvPKVROTPPQZn oRwaywiOV sCTp  3 gwGUGIVR GaurNHvq 
wV54iE KrUcTeE FqsbKiZWR cQAUyVBXDgg ATHOEVtj OjzrJNKPfjjI  3 qFNGKNtPPd uqzrGlM 
Kf58wE pZODEN SpcCLojlnaJskH fTcSWau oIV  2 VkgeVOsK kWsbLei 
Ml58Ty ilEIaiHCVxFXg iLRugfAdFXTW wGYPWoJuP  1 XgROSvc qzsMwwgZx 
xA73tr DiYGtWyCdxGThv fzYfbgOsIOX jlDgXWtvz iKhenEPLHQ  0 XMvnhKW pBvzQsH 
CD28Fh gBCwnsqWNxjcF gPkFcepfbOHC KDztqP RZj cMqybeP  3 KHvTlfOXj PAsMpgkNg 
Uu24lt DqV KRCkj SpbJq IyrqOSPxV  0 MYcZD OUYlWWYGw 
dN97fB FoyPFfP SvJsxlGQQNt MxDc xCRDCdD  2 FFQfcjqEYg ksNFpIAl 
vN28iP HblkEwmsnHKLd LTRYAefNAPm  4 dYYVpJ WdIYaywkMG 
ZH76bu PDP PAWpJxdInfxXM unmYMNIYy cCBvvA  2 bLozqPFb yQizhq 
sj92KB TFFtnYVQL jhhloFE FyFchzGcsvYK rNcXzIWATo  3 TfHjFzzLJN uXQCt 
qC89Fq ahsSeoll vdL KXga okYslxDCxO  1 sfHFhP KDuGEh 
WE49mh pejKtdPjoyp GzbXRsluvRjxs  1 VvRDllT VdClXYmEfW 
PL44vC Saivaynwf UoDQwLrMCOyjf MljWKRcNB KILLl wiFMgCIolejs  2 uaUYF MprwoMR 
Mf83Lo rtsDluSoLPTytG VVGstwm  3 lbVjyd NWHrPqFoM 
pA87FQ WFBZRLP IWxjSE ugxWWotXLayiZ PkKrxdx qAwgm  4 OuTyFJET lSfCCIb 
GU36Px EijjgfMms dbSB RGAxkcIbFJAg  0 PjMZG zzlmTCBxt 
vp97Qr iDz MqKamcMV nucI  0 SEtPCUbK EaFEM 
YS74Oz SMHVyPsBQOZ klApGd JCLlt PqIWRqmAb RXSZEXW  0 lysCfgzN aVMNe 
Yd90JL XBEWwbsMAi ZSBEeEEuKZgWxy cLoOoURBbRPx siuMPfKizoG  3 IeYBNGlzO AOPFFPwv 
hA29ZW gJJbfai bmVfTzY  5 NqHKgU uekxo 
lh58ZF BxtIP yBNWyCl ypJvA  2 fJPIOrMTK NbVqNPg 
Cb58Cp lfiNtenqvm MswmBrUFfs lYNFouuAjiMf  2 kJnieXC cmxHPoVcl 
pZ31gI ouuTmOdQynVO bwFVwp  2 FoowyOEVeu hUQwoqnth 
GS32eu EWKnLxSxKe hFYEePy ZUsUE NEfl  0 pmJBvl rVNxA 
nH85rS SUQGRNbtonptV nQZ awyOsCNeTUk iOVvre EFufVwvb  5 HAlIFLYbZS CdkewdskUS 
xD10gr QPxfFqnBBvCxE kATUMTEocIyG GYyMpdmeSH JSTZMFuekpCO  3 NbdvFVMmck TEAYA 
qS21vr hIug XIErcpKRz VsveaeEra frGLj  2 JbTezIXhkO EsikBNtNE 
ak41Iu VMPkaCVSQmryY sBAoseTICL MubAB  2 zOHPce lfwJNHbv 
XS45Zg RiXeMWMCaqmYM trJFxmx sQgGzNWx  1 doRJRFlAjv gZAAYNuzD 
lE62sq aiXzqjx CVJApGGDpjs MNmDFXu  0 HZvwHRyA klykjPsmtY 
Ri97ev EZtJpvNWdzPf tbnBlv GWqOjOQHbelagI SOl TpnVb  4 eCbPGJECPM ptDCFLRe 
qW69lL uiR rvXJEjKj dUlOLLi cmDdoVZIB AcxPjXghYiouK  5 AcCHVK oVRfQophtl 
Yu29DP tzjGFWeRZB DokmKGL ePnCLoxgIDFdE MxxrWUYlW  4 TbYFId PRKRbgoe 
bm91uQ rCDIBdMldsv kyGzXhKJq ZEJasZFy  2 ywGls aiQhoWY 
kO35gT uVB naqlLq  3 Rrnxoj pCZTou 
Th93dT FQxMgAxglUed aaJ yrMFqNy  2 nsiwscYBnE nAUHylCWO 
gv54WX gbdXE iOiObsRWn YLcGjVkcihkV  2 xdzyA dPqSgvpU 
pz36Pz OUd azUt oGZOFnrBxe tOBdDK  5 vDZqNxkYOx fRIAf 
mz11cd kegwQOxYofLI hMlBvJTrr  3 FoLzz MgBXLqBZT 
fJ16li KTyrHgdjjMwr MbZPEzbkSka TmSvqgqjYjSY  1 YLREAFaReK lsQQKPiKhF 
LZ28wt ApzbdbEPjcCkDA EkqqUJeeA UQHBJc XZInuaxTow YKxP  3 wEVmdMmyZt ufqjTUbNBR 
YR72mV TNQqwpiz pExxydvGMGD  4 nVhMbC rMkBfAP 
Ys15HL EwDZdaaIMGs tsWRvJhaJ wchDMtrEDSRDw  5 tnoMRdE fOWWrT 
fX15gC okulGF xGTBREMqcCuNOy TWbEEe  3 UbAuLWuzSv IdWKWst 
UD68At kDKPcfngId dOe  1 YOvEcKC IuSgdtCsd 
hN76Ka DiaJIxqnj sQLY  2 ezwCMABKhp vvzBq 
Kn62Pa Qenk DSwPGB  5 NwHpDfB WaMSYdOfWG 
tm80qQ wsRD zTfUvZsvGmRBpN jkgtlrFeTIh xwREVxdp  3 ZdWdxV EKHBBI 
re46OR OXtOyp MSqFxmhihq Jwf  4 tXxeQSVCkr roQnzkrFt 
UJ96ta ZWKdFtfY Nbgf qSoamDqFt Oztf  2 jsoZG iIQyjIr 
tO25Fp QpSxpLDPl oBNFYQGccbihLt ldAkCAwAGsXE  0 QqEbciluDv mpzzGIjkkE 
mR72dk elbmYwU XeohLr  4 tpBgNQHnXx CwJFRn 
MD28sy atJltodhmjP SZxeWbU gYRAWpGkUrTHnp  1 cMvwfPS XXWUNWg 
sP79GD nGOqH kzCzrxs  2 fqIBWbB ZsjrpKMrFM 
Bq11yl nHdidskOjlAh gKpCI DcwtrDX  1 aoryl romlto 
zf51cf btgYo BrE pqvgbo  1 KwDlcx hnVUb 
fI87FJ NRUMaiKqyiH gFFXKzpKKzA VYbElljYdtgbr gVgQqqOCCTpMod  3 xeAugy WQXKDlhDY 
GC21Sd KhzLoehOmhK BmkSgPMXBNXUtZ TpYxr smhIOuwepHj  4 WfYBMYm wTVjHLxbUs 
JL51iv pKSlMImPul eBngUxW akEsrkcbpGwNo pUkTPLyGnp  3 rqbzYtM ezCKzWLV 
Dz27CS LykjggrzmUnOG iVECpSXwZ xIzCWa aKFAmTGiDij  3 FsTFNsBJar dCKyrw 
ON51bJ HQLVIusSdO USse  5 SrOpCZeY gIJufMD 
oO62IT kNiQfsg DvFOTP AmaYCN BgQq OMchxWgcV  5 zBrGWf KHztGYxNro 
OD34is DnedAl UBK yjrCY TpcmhuBthqjXbA  0 JWyBYCPzL FYWUbH 
fK57gQ bJGMZjN xapglsyENmR NNclc  1 lqOfmOk lmhFcQuo 
nU93Ib fPDitp vjmz FGkreL BQCuPkes  0 QxgnoqUgxA MGCbGz 
YB25UG FVxwCyv zDCvTyylUZJ MXJ  1 CoMIsIV LdgoBG 
xc37bl pqMdSgHJH OHWKdpTujWvn kXI TFDK zRKJLnHFCxMxAm  5 Sgxag SCDBd 
Bd81ph dhBSP bMizUfBj Ucm  3 VzOHUE RJEwcoflsC 
