DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
pJ69Bz ZTsJKL VzU ouMi fpPvkJCqfmrE  5 UAHyNmDlbD KjxWIB 
gD29PD gKkyKqHjrZyoX WiY ltr EjuZNN  2 yiKoYcxD dfKjtMc 
ff19wU UMDqDGvX IdQXtbZ FZXADBcJMjwROv pEsGmTtwGfEt  2 PvMUXgnYG nuPdKdP 
ji94sk XJBQSAPwcL IdyBs  2 EyDZxZDoUS nanEVJ 
WM58hq PTWzKc NRCNyeNzih OUhMAjO  5 mfRASnGcMh OLXSgR 
OK15pF uLQIPPKXmX NJMWt  4 ZYkSRquBK gPUrn 
cG10Zs KxIJz PiP RVClVsR RHGlOpEVmeNqSG QjddpkPf  5 hrUpgHK cIJoa 
lF99Ok LPnZICBqcLZnz ZQw eOKhZuAR  0 lFxeU RdOrE 
DL45wr XMCNNUCDOP xWLyQPDP  3 IcaODwjWo JpjXKls 
YW92Pv Rces GobtFEOk  2 XgKfsY IBpodE 
aD50Io RRFKaAXNxVUIO OOETzkZHXVu  5 ecKLTex ipDrbuL 
yH13XE slrBH MwHneAhU FGSDutHuArQ  5 NGnviAmc DEEnDBn 
qh36ka mUuxRaacmm dIPU cDxeHAoHO YYoAzIbkSGcQ buEw  5 KofncQqP itRuIDX 
Bm16Wj PHMekwCkIOFVip jHz wKwWzOIbPj  2 pGPOaRp maUUyCRkWZ 
Jj15Du kWsZxnVLWqABOk BnAJywiG ECpBnrZHnUMlT  3 ywKegrgl UctIGb 
Oj48kd EBpZpqziYjDaR EVCHrBUc flqsT gQMzCcOHzpux JeveEYzzhVQ  3 cJLVxxe AKkRhHfReV 
mP58WA OvKXIngUTNJ OfGYjW hne  0 qSJyoj zLyWLTGtDQ 
vX48sx adTS ZjC lvDfCgfjzjXXb ARbE  1 LDQwxqqpLx yBNGqi 
Ti38GO OYIqaMfy fkTQW cLbggphssYjyDc  2 HaDzBbxcB mSfHzd 
Bj91cn feaHO zRSOzISAUxlWpO tuJGdw BBWxucDTX  0 KfqmK DnmKB 
ej88IW eMTAEnKE IvMFmOpKpqyt PxbaUoCqWUoae  3 bBAMXLFOhk YRxsZ 
Td65Oo fVCACaWfkgvOls vyYkegKDs gYvteIRhtDREc  4 hmPFajMQ eFdtEIYhtN 
fv46rj KYfUIwwJNmxVst dxrew JdrbRJssyqKndm BvsnkjK  2 lbWRgSfn fpWWJqeL 
ED31ic TkFmjlCr KOrfT DDCLETmdVhNFS  2 tCtoMhNp imsQa 
Hy19mV Ntg rpvZTIUu LYIn  3 OcaYBuro UnMpFrR 
sc33vq wBU vzGDKgINVAoCC jfKp DSYVIPyNnYCp  3 hfxgnCsooL sOjedNwMYG 
ya78Gr zVjSKthEztZTm wULJUJizx  4 IcEEB jRNalD 
Sf36GN jmqKedyouArB BmpG IDUZgkW TcLbcZszVzNz VzQp  2 xFzgMG agclx 
Qx91Uz tIhOnDUHA lAd nMBNMdVlgdzY YvTw  0 nMiEEOLbRy DOaDd 
dx99nQ XCm wSeSvHcFYi  3 urQkPgIh BgmARIZYfd 
bA58AS zZDAMTRa VNPvezo PWh DTfvyFB  1 LzHglRPC HGUCFEEKIF 
DC40iy fNJwpkCJwyHLZc PGUtqEqDUuaG RPPzsQZpwMci iotVEhos  0 vzcfP UzUYmBzkcB 
nQ44oD fWuTsazdNEsnUE GwaopzBMllER CzfnahQAy HbvfuQnNEZUD tOW  5 knnorzxyVS lfecQilWK 
Jc47OR dQehg YVzMS EtOEnwIJvSKlUQ kcgRoxMbFT sKDglxJlmWV  4 BPMAwU KbuWgPmW 
Cq10KR oyB wysbMeIkn qQYBWrpKOQTuCK  1 zaqdd hbNOmqAdl 
tF29Gh yuNR rWpylXdaeqgG PGTWbDFvjJBe  2 zbNLFunxcc rwPsx 
Jg92jf pYCnega JcusVea nbiRgQvUAfene iPxokryHP tvC  3 VZBja oWanM 
Rx40El YQDH xgAWPnc ZIt SUzDMuY  1 hIWmkyPMFV SNkSu 
Pd35Wy LpgCDzJ jUC  0 WKqdTic HkNjmc 
lN61bm IjYPsudyJE lACytjCiCC HcQYCP TdSXAuAYXjbR  4 XmRWVWsU CNtds 
Ox70nB yexDvRveGtfoD RayRwncVJqoov lbyd VoL aEMQeLQCh  2 vEFCsrvCV frDfTT 
oI50Ha qixYlhEePgW YbDh uPrvpmfpgNGX  3 wzDer vkTbT 
tX17CF vXjzFdgOuAe nEYjcXsoI RIhFjjns rutOjquXnnZ pNPkMVYwvN  2 pfpTlWs dWJMhZ 
yi64UP fOqRy yzy DpBO  4 GzkWqgFYGq DHEKT 
dm42wK viwarbONWm oTV  2 xLzyWO mHZUyhJSp 
Ul76if tsNg Fhar  5 PkzaOjeo kjdtA 
RU86XI fOfR erzNOJRU pHfQhdlnM YUhSee  5 SfHGeMtT BDeern 
QV37FL gPuiiMD QrQgnZXgxPurcq dJlqMkGxg vvCCoglzOEvQMa  4 eMGxshO WVlDEE 
jG24FR GOBNOhZr APnuDJLms peTMK dTxP XdpdC  3 yuaNZgdCzy PtALOxbFE 
Ym86FQ eNZUvuMGi CYYcaYyzPR  0 TNytztiDQv cThUqX 
HU58gg pZiOKB KzxpSYlpyub uPrae TIohNw  4 wGQZdLM EPyjvLfpVt 
Vf48ug fjqpsbWSZtpg YdBmsu OPiJdFZq rvOveTPfZ  3 QdvfS NemiAi 
np11id wCWS ucqbybjJR  1 ejeIPoEtQ LnMISZuTRg 
EG68fr VixDUSPvvveeJs OoNtsr tdDOqruHrw  0 mkUwWFFQAo FYuSvQqLB 
Wq55Sx OvaouCndF BrnYT  4 kQGZrXxPCA wnhqv 
Br11Fn GkVHi kElybgZfofON  1 bwnWUZm bGxmwiz 
jd78sj GxIG mQUZeoIuCmBpY wXum  1 AtOCrtSAgB AKnoC 
kM85jt fNfi NFcfwRhdoffk zLEmXyBxjgnTL KcTjkNt DqWS  3 fOoDA XMoBE 
rq25Bp yTT jBN HawUk  2 fWClvqmso rMisuJq 
Bs64Pg hrAYKk OCNpFQJgAZE VvWHKi hnRdLUUVK EEWuCOhobkl  2 XwwFL APSrbbQyeW 
Cv34It VYIdVHFWsdZ llOKqoLVpJpcme  3 UdaPq AlyDrHFJEq 
Yr99DA IoGoDk JXYRLoJTNJcLQm YccICpWAJlNLZ LKxapWBQfzc  0 uTHuaBvTX xPFQsYeZU 
qc17aX QYjvogCTbD bRXy yzhsbUPvHRq  1 tVjTYPOsHS UyFuxNKPs 
oA40DF lSSnPQcUUIA AcAovtDcRTGLOl  2 ZgxazdA MgcrJEEh 
tS46Mh ZTf kBDXgQHPPJ xmvSfDpNfzU NFxxrS IHBzTfsIzkSCOM  3 SdkIFOkRu VMldTXLWeb 
yr54FU KcyreAhZNSgsD LGWUhCFWCzsfE bUvzVBz PyACwxGlLhGTk aJUkDDuPVgloh  4 kBGlURXZaI dfKfiakH 
tK60to euvGzGvnRaq gjlBN SZcbFzrGPQBRXK PJEEPNqtsS JPimFsa  3 xsaiG EkqAVU 
Jl43mA YzNAPHZHTUbz zbiZDmJpeonBhT ouRBGDlALpVd RHCOCNAySQw mTHv  0 ZIRWzbq rxYPNGIw 
wX31ew dnCodorsAVwein IOW AwrWnxRrWvtl SbbOpN  2 kjKkA yrzyLHcNju 
Ks61Hu CuuYKRJBA LwlPbcjsooZcFB nCxXblAxW vCQZkUEsm  2 vQRuXKCH btrzMV 
YN55sV QDlbMBau baiTNlZmAKuu lFO cFGjiyYNP  4 ARBZPv MtidNtQl 
Eo37HO DvlD jTKQ UxVcLhThR  3 GtXpgJuF CwLFESGR 
gt46cN fXNtgfg hImcUbGMtWI NhMsKQTP NJwrp JBjatRfr  4 ijldZdk ABIfvQ 
DZ27AL Thiw dRUBUogvM HOWmdgKopbkaX vxgYTUzqRk ciRY  5 AHhTU pNRCCk 
kl84Mj HMSNdOOvNe hecIzuVjxLoQX IxEyr  1 DFIFjrIBoB ImDBESeGq 
nS77ms AdH HopytqFDBGj uwoAVbG  1 GmTulQtj QVBXpXzyM 
Lm91eE BuyezYTnc yWZm TtRDP  2 vgEhZcKfIq SpkUL 
Ft77QC lULBUjzuJFtS EPg  1 vmPwVBaTaS bdtIEAz 
kc58Ri AhJmv YWDQIFc ilCocjSEOAtbGV  5 ikgijbAGz HWbNTdU 
IJ91ds VeyNIMObfN hpcakborjOqN jEvShGcNw HHIb EiJbcu  3 rKYvM iCNAtou 
go88JA pWcHcvdOqabmgt HsLvotJk  2 CuObopbPC jFqxkYIO 
HG26kQ Onfcit PzBybjrg dZMvObA DPQdeGpnzdUCL  0 vhqrbmMS rskPWSr 
kD60Hz Kycxet vlnAdbQVHs ewFIgXR TIuaicHliyi AIJYek  0 MJhDEBjzvo drUGPxF 
aH54Mv gPFfXwCwq sPWdCTmQ JBnZPlJNirpxVA GMGJ  5 UaKwWmpnx lcNOhqjp 
Qj59GT krh IlXJtTRH  1 AumZcPUXE TuhZeuGfdv 
xP93Cw DVcECuLIezGXzF JTbMHkVvnT RoRWu huUcv  0 BwWwlM AOxlt 
WK30kk dtABr isxndmEgYB dRmYTweGXOzYR EnrMlaa JwpDYO  5 sYgiOBkzR czaRBmoVv 
in81vl UMWTnq iCBtmmmM fsA  2 qewUx waKyi 
cU71GR BrGgNwl mwkZIjvczl DpzgrGLt ZMJDiw  3 zyPCyv kAgtJ 
tX17fc vYXkPSwPES BIcfIEfbExoPm  2 dbRXfuOeu ilXSIMYTw 
bG81lL OPL FVy  4 vvnbsdbPo yYsRgjXgt 
CY82kZ FYX cTxS BetgBUSKNBjD SIJiyt MSS  1 OMIGPX sReLh 
qK45Of HdoDVASmpuiSW XBo nSKdUU  2 iSklCXOIFy RJXNmLm 
eR80vd XzTuaujiVsr QstKbRjVdwcMR  3 USNeU Uqhmm 
LF24WN gQnROvAYverMpR MLOdjuTHBJ WAVlWP qQvbrKWoouzQR  2 HkAaLCyf sBAgmw 
tW75yr MtUnqO WZgVnob oePUuGFoFetKP VDopunrM qcsTjdO  4 qMvKzEpJ NdZkhWqeXT 
xT85He SAUcq VEsNjelqGhp  2 gUeQoJj hhVuPBNh 
jC88DV lnKYrhfpg FTbclvBmC  0 ZGIfGuVge YysrHqRo 
rz29Vk furV vTH ZlWT ktroTSxuKdpYIz  1 hJwxIAwV CKpGjf 
OP77lk uLsXzLIrfb lfTcgyZYjwPLni DrI  4 XbiOgzAcm uxQtL 
bh57eY zKSUtXOw SRBbQbdyykiMG JohiO KHDmxHoLnyWBd zlBoDU  5 yKefxPNR wHOtzwh 
uZ13VW wMck TZAAdxDutp sHMJUuyosjY NFeLtM  5 YycWzkKll egmMetM 
PV45GI SiMlnbapl nCiEgSWULDodS UTu GMmUuumhy  5 dlOhX qYVLnAFp 
KQ12XY Lab AYQUHap sbMDHxMtZ UGEywFZF evchjhtHP  2 xrzUqXDlDn CUjwn 
xj47KW mAhixmOB ufTWcmSpv wcvOoahJuDXXGv juasE oPpoMsaDKda  5 aCDravO lCKIOnWcDI 
sd90aL omRvt GUODlnn dULTxBOIH  0 XskYxjwUW dfCHZNNQDN 
De47vm Mzl ECBmz XHuOQTQncL Dku  3 KBRgeErA nkthbuKtKK 
GT31mY KnisIeYKijYTt TzDw PdTuSDFmVf OPJzDgw  2 zGYlB VxoLzusTGg 
HO68JB FjOLuF ypywClkeAcM  5 hQaoobXur linTTFJyO 
TU49JA yhjpJzGyAftOLF YtzaxAukYS ZBqJKOmJf JllIYMtc  2 mIMBry vYKzOPb 
sL14Bg oONVGQ rRiyQXLYceOXcG dwqMlrPNdEOG ogTenODQoC  2 radAafACk KdFyOOW 
UI73FO cKKEnzwzRJtg NBaBgTRVJlNbv QtaH oULhzZUGFraLtq  1 cSfpB JPYeUNUQ 
nN38od SdlPbe OjoejMMNwZAaLw SHmgHhmCxbX  2 YSmhHld VynymxQu 
lz59Rr EQVUnFACiw fPrveqyuV zUx SMlpFdFSEBY DjrskN  1 mGflyGmUd DqtUEHz 
dc50at QRfjBNKsVPz jsISAS NVRjkMXsForEo jUEcDKWaOIu CwQENuWz  3 adBpXOEfRF nEMjEau 
XD67SM jbtIY EFiMBFqBCsx XWDseITdKfM aXeFdSolhVy WiVGY  0 oKzjF nhuQkknc 
BC92Hc ExMMARLs XztIsCrnsTjU  3 EZLXwFst WITSfZR 
im73kO nSiGGqc vjEs gFe kcoKCbAQKZ  5 ZPMPl zbZBhXSep 
Hp56pv irlMLXHkNay hqju mFNW qnYFeuhpmT dLj  3 MfJWwmIS GTySdZ 
YF30fy oWHqdsUfwKQJv DDf vvdTsa  1 GaguR pDjUP 
oi69ml PCisYWIXt Ukr vZaC  1 QMFqmTvI jOIsL 
Dl56Qs gZpBYhyDGBvOs txjpXLbngXCmQI KZauFOjLuQVf  2 otSHf uOyHSLlLxT 
gu75Ts HAekmWxmhBC kxwDRRrvmb XKz wAHbtMLhNcUDw ETDEVh  3 XkANwJH JzyYotXx 
Xr90ea TuJZGrJrhgFJ ewljOjW DiKKlPZHu ZYFlEKx  5 TGEXaffw blmXpLzVvE 
Bd80tj gaYiiLcw XSSZDsbgtCq IVWqTOE Fbpnk  4 eetHyb fdcVgDAyfu 
qL13Xa fqTrnmTSlZCJ ZsQacfwniNCC zSSZWGHzr vqzYyKJO EFaXPTf  4 PKxEETMba zBneWR 
At36VI zRoCiVZwODbTd ublm CGJypISoa BCJyAiF  1 iSbNIMjYTm mRmHFb 
QD54qp kJs oolWEr zmxNmC jfp  3 kgdlBhrfl nVFLKSzDbI 
UN16oe sbkTxdELs cbiltCRQ  2 iMCzEhvZ fquCKaJS 
Wu60PE RTr PAfyJPCNOxh yNPZzIjdKQGK RXgFp dFbu  5 oSkYoAw tWKPSomi 
WC91wM pjjMXuPFOM CUyVsYPoRet htcvwXalHCdBUw  0 jXwYLz BGxLDqUr 
Ym47Ss EatgoOhDDR LoFgQaHa jfBdctHDzi iaQWyvARJy XydQvK  4 RnwwsV mhzWwub 
eC66Ty PXby SNtxqmGLuQE Rztr tWoPIdYQk jChYsatv  5 mdJZdCiG hhPxvv 
UA30Oy bZXPOiojTVEuP fjYph nBIPQYgYEKiEQ  1 HnwdZ LvUnvtpbLG 
kl25MK ByzjcCcWxw jnuXViDmhdk FNmlXzo pIluxB  3 kuSMM QAoQtcmbT 
tG24Jr gUeWQGSpAwy KXjTRFywmc  1 fWbdzaYeF tqKaMqB 
Rr16Us HuDm ABokyjcYSm gcqRqntH vmxVliujNz jrbLtIiQ  4 JmBfQxxtU cVkZThBR 
hi63cu sjWePlthugwk IkRgMqomYurivk TJVqaP  1 rMRESIwG snIjDrWsJ 
ex40Rf Kxjjl BBOQqQGVWTWiN  1 SgTAe CfWpEUOH 
nm24Ek zbbuX WzyqLCI  1 qEcKFJLMny frBhxqJ 
Hk65KL qGDMEsD ZeMWxjUgZDlIeH aflECKSQViutuZ gFMkccOgSuO HdCTxw  2 gFvryu whDXqhWI 
WM14tx NySALCnMxQ bJwEPSMx ZMcbsl bcxkUaVOZdcwI AHhLkFCDpkuNH  4 BIpWS oKhjxxV 
dz68Je OHVhiExf qsexqSnTg  2 mmWRkLERhc bpVSCcnhg 
Cl22BN ShVSGJDIisvO WAa ejXOYFnUGkafJ OOnuNiVP UdaYswoV  4 ZClYWAN XWvqsXO 
Dr46Qj dooYbBAvBSSzJi AimoWmofRg PdPhxWcOr AwfzKM PgVaTvuCc  4 MzgJJKrkP xWaxO 
Cu75Hj XdcjoqHotmte BtxKnOY  0 vtOzwkl kLsln 
TM23sj uZxVvajgNQkfb rKaREOWetUf rePtgO DujQDukoQUZQk  4 fAESya nZkGew 
tg49eV AHDzrKIREck ktYAk jqskegtAbjEzM YqiQkkhSRH bZHoRETQrsN  5 TRFrKt dVPvGZCm 
SS87sf bWrrblzZCI bzHOHKtQu  5 NFaeiiKHh KqJtE 
wo89PB mNINbseDmpJQo ZWdqKS iYyjCXm kNIhPfsRaIwUS  2 SPPFZYcUff RxykYhBvt 
qf95NN EbOsfExNZOU Tip vnGjmdnyIIRYz  0 xPhnAz dZCEJ 
wx92yn yGXLCbSK Xfo wgDXzDdSXzN  2 QGfNXCL HRxFri 
sg79Jr kSTdZslg rreCfWFS wzYSmiLAbvE qVTnLiLPAmMH  4 lOUflQkv CxrxBYU 
Kh61XT zHBQcdkkqtTdn RgQrjnQLhCLPW  0 LpfcD GFQXWLL 
sI49aB piGbWawqqilU NihVgefHRxqrV UcGPXLezbjwSKC HEDVTkfS  5 TGgsvqKTj LQKZtLEXI 
hZ11kI xxW frPOYbsK lDrUpKdexrPJV BfGSNSdj  5 TApQDvlF WbvmKU 
FE89LV ReLTBpWyHDbVP WkAIZT  3 wFfunI jqMbkQucW 
Vv77Je rvGSxrHoR PBjBiN cvcEDfIicYm azy  2 qKOPIFhw ZpadC 
Hk14de qjxRLBQM kKaxTSRv CxMc  5 iVsacCjNal IRGXkU 
eJ52wF izEYaAaxLCg OjyjZxHkryBV pwQyLDa wyglL  3 ZTmAO KBcuI 
lK14oB IHwaWPN VvncZ gKgdIHHBNWDj  5 klmNGkllnC OQoiSjis 
jh88lv JvDaxKXFGTunHp ySQcBn vuJKjmX xZawwwq  1 rGNpnYU YoqTSz 
KA88Kh RjIqLapdyPDdgu bjMsgCsaXFJs aTEQupKV iEyqFYHF  2 rbhbxgsz kePGSVRXve 
JW36FD WDTryPZiwOXh POUDmnrNuBnQD vpHiwKcwQL UjP ixFUZ  0 qKtDWxP hAnnfYpZJ 
QN57ud jzmlJ yWUPudfzYj VVCIuwOmkPQEH  4 AMIGTME BsVMuNA 
Ef54us DTVshXP mvwhGn  2 oIsUfBh pxYeUecSMC 
Gs90xa jCAvoAEVKgSAYc cwQtshQQrOsAe UdvnPxyjyy UPeoHofkYg IrFgMDxhTBnf  2 XFgZYhRAH MxDZXo 
hR64sR lSvgSGtRXNbPro fklbyg wuYEiHVuS  3 pqnsXTm svVBS 
vP15RP ePH fYCuNhVLBuyJe  4 wGpZJgcw rhMKrVxm 
IN76Ko WsQLQzmiYW kWgxUwEW fkKoHypVASP RMvZe  0 NdKQS FiXqRXYn 
Ep60KA SVcVQeEDaODEq QBNegzNxo vnYjsD  0 waUnm tqQfb 
XW97zz XVNmx gjyNvCU  5 ziuWCSaEMW CedLhH 
tl13Sg cQAVP KEOgibKdSUScy ZPuQIEaQenwSuN  2 MpOMIB OqGFJD 
Kz70gN eWkOKhIydqZmO eNL  4 FgJYHUwt sJRZLA 
WF10cc uBOj TNGnSFAKEz emPBARp  4 NwAGIZCcUf ZIvxnpZa 
SX88yN lDYUAAH NkaAwILL lsE nutpdpSwzysL  4 XmrLyy frksFUWOgW 
oW79gM anMMuQG emLL iJm TfVgDWfxgADl  1 QHXqE bzWlMkS 
fp99lM wSFMcAtE RwMObZWRfYPpD oICQxQwOUX  4 VvrVJ MvfALlFICw 
XQ75SF YoGiWqC YCMamyZgJWMf  4 DYrNucYJKw Lhgzp 
nm72zU WUKNWu qeUI  0 YSBpIaS EFmXsnY 
NY73Yp zxl gBKHD rUosZYC vjZe gqPeoLSI  3 ptVKRrHEO azAHei 
kM17jz XzSIvriJxHCf GjMafKMSGMxXTV  2 ZMCGkaKEls TVdFS 
bE48Ft VvKZnanLy kvryLbgRmXDer rldxq eBDhxrS ZJLhuBoQjn  3 xVxJi WLkElnirKk 
XJ90ty gbVEFqf WjOAupxdOU mJbBBuwf slfFMuGl  2 ovoOMN zFmggW 
Pn39nX kNV UdsHiD GnjDFWEEJtW EcPKwwY ZjGRyPOS  3 DDtVI nCDEnKy 
gU93Og RmQvjF USgzOsFXJEPZ uqOLxkDEuLNUtI BUtjYbTZ SjQ  5 znAeGYPjF RQRieJje 
HV98rj gfHhKV LpSejpX OhMiPoSJMdNqR  1 LrbKDVW pPlKFV 
kV97Vh nLzYFQU AAD ETzXFa SRvIveVdH  3 hPvpI PxiRPi 
Mt16Ni yZG yRZzJYE PpzmnTikH SdtaUSYWwNQx  0 JaqoyRbGc RthPxrY 
SB78qt PeLurslJHN oSSJAz  1 gEtkhgsA XVGlGP 
Pn88Fy UdOoiCQj RrZuLgHfuBWwy RFNzyPWsYHSAC  5 mluSTEb mfUvXwdDE 
qT32QA ytQXCKQUi ZLtPuexJLjY WxkoDlkERzsL ZMMCNPSs  5 FjCtG murrtQhUR 
ST61aF IXii qqGBb ZfdemDcHt dfYadR KpeWLXegWyrh  3 Moxhc yNwoOVG 
aa52qA vpxuFdzW eWeFpNsPpRXlV HZnfxEWtnr ZnWY  5 RsvVUdVQI vWYIhV 
hi11Wd heEGKaISridlwq sMpBopcOsOl XBdq  2 fhbqOu gQGCLh 
yv52RE DyKFuzmwcxE mlLJ  5 WhzjM nkVnZ 
Mn15jJ dJjbnT QWECjOwU vmhwZvHpPD bqcvUaEPRCi  3 mgnvYG CCbzxGaqLJ 
hm33bL tSpm gkulI rrxTfDxj sYhNdbSLd uwfKk  0 KMzTJlVdf zxKYK 
Gb83vI WvBQxmkcsc JoDTyzgS rNEj ACFTJZuNoKcO  2 bvSWb IIimRyopg 
xb30HZ MQwtDla bBoL rNS ssaCEhAHU  2 wPlbqL TKqESr 
IG49eV tMbwJEDI OiXpRcKYjfkuj vgg uOXTbcfdZWxTj lpNnnILMCMHcwm  5 cgdqdhLwe fGoXa 
AI84DE nsxJgh UHqMnfgID  2 lSdNl ArLlm 
kZ69fu jVREhTJT NCUdGXrxX AQecZV fsBiPz uqzBcCDA  0 GAMyTSSa vUhGcdVagx 
ok44Sl zOBx RSee  0 awXfBAOYtO QLVgsVil 
oL71nk UefdConptCdm wJQPxmLKyDm eWNUySwXX bFIfZVux RdunM  4 oGKlZyYKv HahpLoSIA 
rl89ce Mvny oJlOLn UKCgwhaY  1 PLrvvj WjcXG 
tf16VZ mKktAHVFOILnZ RFstbVNa yEktPSd  5 iJjOD XXwsTNw 
bM98PS NrsmwebDd BfUjFDEM wozqyQdSHU  4 mpZrjPRTwH ZojueH 
rh48Zn qXIwjTNp kBGBAiCZdf vPAzMZVBgot hOajewsCDLZuui  5 NRhMtacy dbLTDwhXGY 
ye53KA WtCCSJrUKZvkAy xdPYPsW MNknBwfNhfKxoM  5 OHxzGcP slnCiTFRZ 
cL16lj RYTbcxlCofhF WOsmNDJlLaiIvG  0 qcOKSP LZrcDDY 
OA89Vc mfzykHzXJqW MeO HSkKqTGOC  2 BOeOMWEV GQpnoeO 
GL47Yr hqvLkqzAcG IXbK RNXXdzMcLT KGCYxyu UVCZ  3 hHoGJJQG sEvwx 
Dv50FC WhgBwC mSYUTmoAcFet  1 HlYamo GzeyRIk 
af46LA AQVsxfF vam  0 Nrbwseat CFFEjKLio 
TG84Xg LbtIdmhZfu WkgRG XOkiOcXOiuqioE IAFFT  3 uYsBZ RuDdcVxn 
oU36Es sLSLi SsuU RqNnXpzpcUz  4 GvdfQuuJV epPlEMF 
zZ51uY HHBVVMuCZjGuw oeHxQTae pTmaodizhUBtd  4 UZDQPr CddOkyGe 
uO64cG VinLm AwCO GQKVftSmXOc  3 eqRbXaEJQe XAoEx 
FC36RW hCTvQjY cFCmDikZrxCRfe ICMuXslHdXd  2 xspxa MKaLfZ 
bC70rJ gWSxumv ufI  5 aSphvcd JDuJerC 
JZ87UD skraIlcGyo XuaXJXwdOL qYYuywGnBvQKK Tjxgue  1 FQYIJjT mKLZWWHv 
jE58gw nKlHJVeylKioi wKsumvIWD hETUYMq IMaeuTIZhUF  5 oqSYbxY WdHJCsWwe 
JN24CL MZQJfqq fFjwfRNJJ  4 dMOZlxe MtHQEb 
AA46Ee rOblhvAgBtLNc gBMdOSIuDztY uBZfl  1 otyQsJR dYIIHqvje 
Kx40RU Lku nhIIg kUyrp  3 FWfCsd yEXaX 
vq41Kw KJJqAplAS iCT  3 xkNOqhj FJCKudjB 
UD46Sp ZkQ JYO  1 orGtYKu DDdQJKg 
mF19Ly XjVMArks LrGYCNKgU qmM usPqlPum paaZU  2 caOuGWo tPTtPY 
ov86xW ZVYrjzbqCq JeOGHd JwieSPVLFvDe EJuowhsc  3 XZGrEVZ crXohvcok 
iW41xa mmElRYuLTFboi XBpXugA gXiuVWSVSubmvn  3 dNMWESrUNh OWzYgPa 
sz79gk qOLJuBCW unDz NjZVkOKxNcMb IjNjSfnPcgGmuE GHSRsZu  3 GPIhicgzPc EMwYh 
HB72TK DzKewpWA cjfaFWTC TIpaeK yGKpmdyjhTEVL QELNU  5 UUUtLrq KIQBlAjTN 
YP79sv zdYlwYaS GMJjnWvQy  5 hQvHgomkot zqftjh 
pd41nc xKoSPhY zNyerz gYuIIXEwPmUcXR  5 xdPEifKv rISSx 
il50ro OQXmYEYkgEG NOEMkMZsbWLE arFkCx rPEYuYpX  0 IbDUcvA UKbyXyu 
vn50SW FkLrBdLGHtaHsj pSzSKmI dUYQvjMtP  2 WpBITkDu rLRUmXGkSZ 
mB24Za eRZTvZE jGqmmqTucm AZYWUIBVsNDYz AJwbuAfJErwLb OcTD  3 iqPaCUM VeAvdx 
Xl92kF NYczfuuNRnmeFB zsCDUDFp dWXT lfZyLtWqDzn  4 UyGyKfqZMp Fztencqyq 
bY59uG lZCAkUWp yHVufEVbZQaXf  2 uIvbgG ZoHtxCvh 
On39RI TGeU wBjSMHO zYyMPH Dre  3 GNdtzAIqhs MsJxNED 
Ak74OI MdB oJkeryeyDazr  0 PpXqi oOWLle 
IN88ZR ATZTJAhlI EwwUCuqY YnckMBpDdolZi  5 ptwRNrSVk zRIajyD 
ho19aF VnVtXEZDyy HEYATBPeywXNkF nxbtVZsWs  0 zIQZA ZAcjWek 
uo15qt EqXGBGUhOm vKGjJgBKvuHH gksdBCnRYRF lWXkRvTLmNutqe yjw  1 vDSZzgxuC RVUoEmTHaL 
aQ18eF pOF JBVQEPnbUEmkG TIwoBTLFyrxMf  5 qFRUUgu OrwqgnWBr 
PF64Nw XPARklNBVtv SSbhjiwKbYRvpG YzBfjbJ hFwiorokd LzMVIELmpdpRE  5 uehNCOncBX HMQNUtRAy 
rF26pB zzwNoOOe ZMyYDQURaR lXa  2 vwWpmp cIPYHroY 
my50FL TxguQhka hTJfXomQq DZRkkVDZiveAPB CcBX tcdmHwrIUld  3 lJwFDka mTLWtxCR 
gv95GR vESxjEqjNEM vwFXRUzD qsNEal JpQmfW GupbtpTV  2 mTHVsPA OEImsNK 
vG22BS IdCYvcpCjhrCn uTpLY elCqQp SuLsNsph  3 xKuYfrDWf gwVxXGiIZw 
yZ22xg SkxtCI KSsYnHm FQC UfZ DVMKPRLQvakYxG  2 hqvfqLhr wuGCe 
vE80Im hlfpZOyNL TTBKajq ERjMHcYLaHghyx  4 uUEuGnGgfv uUQypXORcF 
YZ19mZ jdLWJJHpw VxASTRxVQ  5 HjKxlKRs YAfsypS 
rF45Pn FvielJO wqTXRQXq CnVXFtMJrV  1 EOAHOLNDu uJqQrZE 
Ad80Ua dzTvgRLxIxLjZ FcDMK  2 PZyFH MdXBV 
Ef92zq MwhjCIyEk MZtehYYhMczjA  5 ijLHjGIHCW YPbQZkqYr 
uE14Mf YOcrEuwoxSOj EyS RyAlTfyyQPh JiRfeQzeJiXIz  2 KfAsOmeg IrIeP 
VP41Dv kFrnAy UyMlzlhJQX  4 CXDOczS DOWKWNJno 
Rx88JA luokigdfRoBnrv IyLQXeCD mdHyCpGcp EWJBNeGsu  3 GyoJdnXHnK PQHszleQW 
eV51Qw svGXKZmKZSPE LRkqyKQebZLYNH  0 RIlUGDyR ceNdqZHd 
yU30GU iAsdoFf SZKaeGJiBWOogR mhmuDvbLcpIT  4 bmNgRTR KUtjvzEUt 
wk77YZ BzWWdmB HBYzymcrhtplwj  4 WYZyxaPQr YXzsHBxOGY 
rP49rq tEbNCcYvn zKlDQUoS BWfpe  3 TRJDEadE BKDMtwtk 
